data;returns;asset
31/01/2017;13.27;selic
28/02/2017;12.84;selic
31/03/2017;12.25;selic
30/04/2017;11.65;selic
31/05/2017;11.25;selic
30/06/2017;10.25;selic
31/07/2017;10.09;selic
31/08/2017;9.25;selic
30/09/2017;8.48;selic
31/10/2017;8.1;selic
30/11/2017;7.5;selic
31/12/2017;7.1;selic
31/01/2018;7;selic
28/02/2018;6.81;selic
31/03/2018;6.67;selic
30/04/2018;6.5;selic
31/05/2018;6.5;selic
30/06/2018;6.5;selic
31/07/2018;6.5;selic
31/08/2018;6.5;selic
30/09/2018;6.5;selic
31/10/2018;6.5;selic
30/11/2018;6.5;selic
31/12/2018;6.5;selic
31/01/2019;6.5;selic
28/02/2019;6.5;selic
31/03/2019;6.5;selic
30/04/2019;6.5;selic
31/05/2019;6.5;selic
30/06/2019;6.5;selic
31/07/2019;6.5;selic
31/08/2019;6;selic
30/09/2019;5.8;selic
31/10/2019;5.48;selic
30/11/2019;5;selic
31/12/2019;4.68;selic
;6;
