Ticker;Publico Alvo;Tipo de FII;Administrador;Ultimo Rend. (R$);Ultimo Rend. (%);Data Pagamento;Data Base;Rend. Med. 12m (R$);Rend. Med. 12m (%);Patrimonio/Cota;Cotacao/VP;Nº negocios/mes;Partic. IFIX;Numero Cotistas;Patrimonio;Cota base
ABCP11;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;0,19;0,24;08/10/2020;30/09/2020;0,46;0,57;85,38;0,93;6.132;1,19;21.397;1.041.982.878,65;79,75
AFCR11;Geral;Papel: CRIs;CM Capital Markets;0,87;0,82;08/10/2020;30/09/2020;0,21;0,2;101,41;1,05;224;0;210;67.819.341,94;106,5
AIEC11;Geral;Tijolo: Escritórios;Modal DTVM;0;N/A;00/00/0000;00/00/0000;0;N/A;96,57;0;0;0;2.802;465.931.451,73;0
ALMI11;Geral;Tijolo: Escritórios;BTG Pactual;0,37;N/A;13/04/2017;31/03/2017;0;N/A;1.994,57;0;611;0;4.004;221.750.586,12;0
ALZR11;Geral;Tijolo: Híbrido;BTG Pactual;0,36;0,27;23/10/2020;16/10/2020;0,57;0,42;102,54;1,31;32.987;0,7;66.586;459.346.206,31;134,68
ANCR11B;Geral;Tijolo: Shoppings;Genial Investimentos Corretora de Valores;33,85;1,28;25/11/2019;31/10/2019;8,44;0,32;3.475,17;0,76;2;0;55;1.567.696.480,19;2.650,01
AQLL11;Investidor Qualificado;Papel: Fundo de Fundos;Índigo Investimentos DTVM;0;N/A;00/00/0000;00/00/0000;0;N/A;1.488,52;0;3;0;37;146.205.842,94;0
ARCT11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;10,86;0,95;22/10/2020;15/10/2020;9,65;0,84;985,55;1,16;213;0;283;22.991.878,95;1.146,02
ARFI11B;Investidor Qualificado;Tijolo: Galpões;Índigo Investimentos DTVM;0;N/A;00/00/0000;00/00/0000;0;N/A;1.209,99;0;2;0;28;138.004.479,82;0
ARRI11;Geral;Papel: CRIs;Oliveira Trust;0,53;0,58;07/10/2020;30/09/2020;0,38;0,42;92,67;0,99;764;0;1.926;36.360.191,34;91,5
ATCR11;Investidor Qualificado;Tijolo: Escritórios;RJI CTVM LTDA;0,29;N/A;08/10/2020;30/09/2020;0,14;N/A;77,73;0;0;0;33;72.208.266,54;0
ATSA11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,25;0,18;13/03/2020;28/02/2020;0,3;0,22;110,4;1,24;82;0;244;189.357.587,57;137
BARI11;Investidor Qualificado;Papel: CRIs;Oliveira Trust;0,92;0,87;22/10/2020;30/09/2020;0,73;0,69;99,84;1,06;4.867;0,29;6.609;223.053.667,08;105,99
BBFI11B;Geral;Tijolo: Escritórios;BTG Pactual;25,48;1;15/10/2020;30/09/2020;25,36;1;3.141,03;0,81;2.413;0,43;7.223;408.334.423,34;2.540,99
BBIM11;Investidor Qualificado;Papel: CRIs;BB Gestão de Recursos;0,55;N/A;15/10/2020;30/09/2020;0,57;N/A;60,43;0;0;0;20;62.544.398,94;0
BBPO11;Geral;Tijolo: Bancário;Votorantim Asset Management;1,08;0,78;15/10/2020;30/09/2020;1,06;0,77;101,12;1,37;46.973;2,76;69.164;1.609.791.075,84;138,5
BBRC11;Geral;Tijolo: Bancário;Votorantim Asset Management;0,94;0,63;15/10/2020;30/09/2020;0,97;0,65;109,88;1,36;2.950;0;8.591;174.709.632,19;149,7
BBVJ11;Geral;Tijolo: Escritórios;Hedge Investments DTVM LTDA;0,33;0,61;09/01/2019;28/12/2018;0;0;57,32;0,94;1.352;0;1.887;155.333.783,75;53,99
BCFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,45;0,5;15/10/2020;07/10/2020;0,47;0,52;84,11;1,08;96.227;2,31;239.062;1.729.576.161,61;90,82
BCIA11;Geral;Papel: Fundo de Fundos;Banco Bradesco;0,6;0,48;29/10/2020;30/09/2020;1,2;0,96;118,28;1,06;11.309;0,57;13.581;439.897.646,47;124,8
BCRI11;Geral;Papel: CRIs;BRL Trust DTVM;0,8;0,74;15/10/2020;30/09/2020;0,78;0,72;104,17;1,04;17.761;0,48;32.528;375.029.259,30;107,99
BICR11;Geral;Papel: CRIs;Inter DTVM;0,19;0,19;15/10/2020;30/09/2020;0,38;0,38;98,12;1,02;365;0;701;49.061.652,66;100,5
BLCP11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;0,47;0,45;21/10/2020;14/10/2020;0,05;0,05;100,56;1,03;45;0;104;109.631.198,45;103,93
